condition,pmid,year,outcome_measure,effect_size,measure_type,comparison,population,follow_up,what_was_delayed,grounded,review_flag,supporting_quote,title
appendicitis,37355425,2023,mechanical ventilation rate,13.4 (95% CI 3.8-37.1),odds_ratio,missed diagnosis vs timely diagnosis,children under 21 years of age visiting five pediatric emergency departments,90-day,diagnosis,False,ungrounded,"Those with missed DKA were more likely to have mechanical ventilation (aOR 13.4, 95% CI 3.8-37.1).","OUTCOMES OF MISSED DIAGNOSIS OF PEDIATRIC APPENDICITIS, NEW-ONSET DIABETIC KETOACIDOSIS, AND SEPSIS IN FIVE PEDIATRIC HOSPITALS."
appendicitis,37355425,2023,cerebral edema rate,4.6 (95% CI 1.5-11.3),odds_ratio,missed diagnosis vs timely diagnosis,children under 21 years of age visiting five pediatric emergency departments,90-day,diagnosis,False,ungrounded,"Those with missed DKA were more likely to have cerebral edema (aOR 4.6, 95% CI 1.5-11.3).","OUTCOMES OF MISSED DIAGNOSIS OF PEDIATRIC APPENDICITIS, NEW-ONSET DIABETIC KETOACIDOSIS, AND SEPSIS IN FIVE PEDIATRIC HOSPITALS."
ischemic_stroke,27673305,2016,degree of disability at 90 days (mRS score),2.79 (3 hours) vs 1.57 (8 hours),odds_ratio,endovascular thrombectomy + medical therapy vs medical therapy alone,patients with large-vessel ischemic stroke,90 days,treatment (endovascular thrombectomy),True,,"The odds of better disability outcomes at 90 days (mRS scale distribution) with the endovascular group declined with longer time from symptom onset to arterial puncture: cOR at 3 hours, 2.79 (95% CI, 1.96 to 3.98), absolute risk difference (ARD) for lower disability scores, 39.2%; cOR at 6 hours, 1.98 (95% CI, 1.30 to 3.00), ARD, 30.2%; cOR at 8 hours,1.57 (95% CI, 0.86 to 2.88), ARD, 15.7%; retaining statistical significance through 7 hours and 18 minutes.",Time to Treatment With Endovascular Thrombectomy and Outcomes From Ischemic Stroke: A Meta-analysis.
ischemic_stroke,27673305,2016,functional independence at 90 days,0.84 (3 hours) vs 0.81 (6 hours),odds_ratio,endovascular thrombectomy + medical therapy vs medical therapy alone,patients with large-vessel ischemic stroke,90 days,treatment (endovascular thrombectomy),True,,"Among 390 patients who achieved substantial reperfusion with endovascular thrombectomy, each 1-hour delay to reperfusion was associated with a less favorable degree of disability (cOR, 0.84 [95% CI, 0.76 to 0.93]; ARD, -6.7%) and less functional independence (OR, 0.81 [95% CI, 0.71 to 0.92], ARD, -5.2% [95% CI, -8.3% to -2.1%]), but no change in mortality (OR, 1.12 [95% CI, 0.93 to 1.34]; ARD, 1.5% [95% CI, -0.9% to 4.2%]).",Time to Treatment With Endovascular Thrombectomy and Outcomes From Ischemic Stroke: A Meta-analysis.
ischemic_stroke,37199147,2023,"home time, all-cause mortality","1.07 [95% CI, 1.02-1.11]",hazard_ratio,each 15-minute increase in DTN times for IVT,older US patients (age >=65 years) who received IVT within 4.5 hours or EVT within 7 hours after acute ischemic stroke using the linked 2015 to 2018 Get With The Guidelines-Stroke and Medicare database,1 year,door-to-needle (DTN) times for IVT,True,,"Among patients treated with IVT+EVT, after adjusting for patient and hospital factors, including onset-to-EVT times, each 15-minute increase in DTN times for IVT was associated with significantly higher odds of zero home time in a year (never discharged to home) (adjusted odds ratio, 1.12 [95% CI, 1.06-1.19]), less home time among those discharged to home (adjusted odds ratio, 0.93 per 1% of 365 days [95% CI, 0.89-0.98]), and higher all-cause mortality (adjusted hazard ratio, 1.07 [95% CI, 1.02-1.11]). These associations were also statistically significant among patients treated with IVT but at a modest degree (adjusted odds ratio, 1.04 for zero home time, 0.96 per 1% home time for those discharged to home, and adjusted hazard ratio 1.03 for mortality).",Shorter Door-to-Needle Times Are Associated With Better Outcomes After Intravenous Thrombolytic Therapy and Endovascular Thrombectomy for Acute Ischemic Stroke.
ischemic_stroke,40947717,2025,3-month mortality,0.24 (DTN ⩽ 30 min) vs 0.58 (DTN ⩽ 60 min),odds_ratio,shorter DTN vs longer DTN,patients with acute ischemic stroke treated with IVT + MT,3 months,,True,,"DTNs ⩽ 30, ⩽45, and ⩽60 min were significantly associated with lower 3-month mortality (OR 0.24; 95% CI 0.08-0.67; OR 0.45; 95% CI 0.29-0.72; OR 0.58; 95% CI 0.39-0.84; respectively).",Association between door-to-needle time and outcomes in acute ischemic stroke patients treated with intravenous thrombolysis plus mechanical thrombectomy: Analysis from the Italian Registry of Endovascular Treatment in Acute Stroke (IRETAS).
ischemic_stroke,41614469,2026,3-month mortality,0.24 (DTN ⩽ 30 min) vs 0.58 (DTN ⩽ 60 min),odds_ratio,shorter DTN vs longer DTN,patients with acute ischemic stroke treated with IVT + MT,3 months,,True,,"DTNs ⩽ 30, ⩽45, and ⩽60 min were significantly associated with lower 3-month mortality (OR 0.24; 95% CI 0.08-0.67; OR 0.45; 95% CI 0.29-0.72; OR 0.58; 95% CI 0.39-0.84; respectively).",Association between door-to-needle time and outcomes in acute ischemic stroke patients treated with intravenous thrombolysis plus mechanical thrombectomy: Analysis from the Italian Registry of Endovascular Treatment in Acute Stroke (IRETAS).
ischemic_stroke,26716735,2016,"risk difference for a good outcome (mRS score, 0-2)",6.7% (0.4%-14.5%) at 6 hours,percentage,reperfusion at 6 hours vs reperfusion at 3 or 4 hours,patients with acute ischemic stroke requiring IAT for intracranial arterial vessel occlusion,"not explicitly stated, but related to the time of reperfusion",reperfusion,True,,"The adjusted risk difference (95% CI) was 25.9% (8.3%-44.4%) when reperfusion was reached at 3 hours, 18.8% (6.6%-32.6%) at 4 hours, and 6.7% (0.4%-14.5%) at 6 hours.",Time to Reperfusion and Treatment Effect for Acute Ischemic Stroke: A Randomized Clinical Trial.
ischemic_stroke,39222701,2024,disability attributed to the index event at 90-day follow-up (mRS > 1),5.1% vs 8.6%,percentage,DAPT vs aspirin in patients treated <6.7 h after symptom onset,patients with minor ischemic stroke,90-day follow-up,treatment initiation time,True,,"Comparing DAPT to aspirin, the rate of disability attributed to the index event at 90-day follow-up was 5.1 % vs. 8.6 % (OR 0.57; 95 % CI:0.33-0.99) in patients treated <6.7 h",Time to treatment and disability attributed to index stroke in the POINT trial.
ischemic_stroke,23780461,2013,in-hospital mortality,"0.96 (95% CI, 0.95-0.98)",odds_ratio,faster OTT vs slower OTT,patients with acute ischemic stroke treated with intravenous tPA within 4.5 hours of symptom onset,in-hospital,treatment,False,ungrounded,"Faster OTT, in 15-minute increments, was associated with reduced in-hospital mortality (OR, 0.96; 95% CI, 0.95-0.98; P < .001).",Time to treatment with intravenous tissue plasminogen activator and outcome from acute ischemic stroke.
ischemic_stroke,41102478,2026,90-day mortality,0.66 events per person-year (early) vs 0.77 events per person-year (late),incidence_rate,early vs late,endovascular thrombectomy for acute ischemic stroke,90 days,treatment,True,,"For mortality, early EVT showed a significantly lower incidence rate of 0.66 events per person-year (95% CI: 0.51-0.82) compared to 0.77 events per person-year (95% CI: 0.63-0.91) in the late EVT group (IRD - 0.148; p = 0.0012, IRR 0.81; p = 0.0014).","Mortality, functional outcome, and bleeding risk after early versus delayed thrombectomy."
pulmonary_embolism,41004149,2025,30-day all-cause mortality,RR 3.31 (95% CI 2.03-5.38),relative_risk,timely diagnosis (>24 hours) vs delayed diagnosis (>24 hours),patients with VTE and documented VTE-related symptoms in primary care,30 days,diagnosis,True,,"At MGB, mortality increased from 17 deaths (2.52%) for timely diagnosis to 217 deaths (8.33%) for delayed diagnoses, with an RR of 3.31 (95% CI, 2.03-5.38).",Delayed Venous Thromboembolism Diagnosis and Mortality Risk.
pulmonary_embolism,41004149,2025,30-day all-cause mortality,RR 1.28 (95% CI 0.30-5.53),relative_risk,timely diagnosis (>24 hours) vs delayed diagnosis (>72 hours),patients with VTE and documented VTE-related symptoms in primary care,30 days,diagnosis,True,,"At PSH, mortality increased from 2 deaths (4.65%) to 12 deaths (5.97%) with an RR of 1.28 (95% CI, 0.30-5.53).",Delayed Venous Thromboembolism Diagnosis and Mortality Risk.
pulmonary_embolism,32694258,2020,in-hospital mortality,1.6% (early) vs 43.2% (delayed),percentage,early diagnosis vs delayed diagnosis,patients presenting to the ED with early workup for PE,,diagnosis,True,,In-hospital mortality was 1.6% in early diagnosis and 43.2% in delayed diagnosis.,"Delayed Diagnosis in Pulmonary Embolism: Frequency, Patient Characteristics, and Outcome."
pulmonary_embolism,41029651,2025,in-hospital mortality,9% (delayed) vs 5% (early),percentage,delayed treatment vs early treatment,patients with DVT,,treatment,True,,"Death and PE occurred in 9% and 33% of patients with delayed treatment, while they occurred in 5% and 20% of those with early treatment, respectively.",Delayed diagnosis and treatment of deep vein thrombosis - an underrecognized factor for its related outcomes?
pulmonary_embolism,41029651,2025,pulmonary embolism (PE),33% (delayed) vs 20% (early),percentage,delayed treatment vs early treatment,patients with DVT,,treatment,True,,"Death and PE occurred in 9% and 33% of patients with delayed treatment, while they occurred in 5% and 20% of those with early treatment, respectively.",Delayed diagnosis and treatment of deep vein thrombosis - an underrecognized factor for its related outcomes?
pulmonary_embolism,30190113,2018,"30-day all-cause mortality, haemodynamic collapse or recurrent PE",6.2% (delayed) vs 2.6% (not delayed),percentage,delayed vs not delayed,patients with a diagnostic delay >3 days,30 days,diagnosis,True,,"Among them, 15 patients (6.2% 95%CI, 3.7-10.3) had a diagnostic delay and 7 (2.6%, 95% CI 1.1-5.4) did not (p = 0.039).",Determinants and prognostic implication of diagnostic delay in patients with a first episode of pulmonary embolism.
aortic_dissection,1924674,1991,30-day survival,84.2% (early) vs 15.8% (delayed),percentage,surgically treated group vs non-surgically treated group,patients with acute type A aortic dissection,30 days,diagnosis,True,,"In the surgically treated group, a 30-day survival of 16 out of 19 (84.2 per cent) was achieved and the three deaths were all related to late referral.",Diagnostic delay and outcome in surgery for type A aortic dissection.
aortic_dissection,17350381,2007,in-hospital mortality,27% vs 13%,percentage,antithrombotic treatment vs no antithrombotic treatment,patients with acute aortic dissection misdiagnosed as acute coronary syndrome,,diagnosis,True,,Exposure to antithrombotic agents was associated with higher rates of major bleeding (38% vs 13%) and a trend toward greater in-hospital mortality (27% vs 13%) (p = 0.02 for combined end point).,Frequency of and inappropriate treatment of misdiagnosis of acute aortic dissection.
mesenteric_ischemia,16796010,2006,mortality rate,72% (first 24 hours) vs 87% (>24 hours),percentage,between patients with treatment within the first 24 hours and those treated after 24 hours,patients with acute mesenteric ischaemia,,treatment,True,,However a significant increase of mortality rate was observed when the surgical intervention became afterwards the first 24-hour period. (72% versus 87%).,"Acute mesenteric ischaemia, a highly lethal disease with a devastating outcome."
mesenteric_ischemia,34055998,2021,survival,41.7% (n = 25) vs 4.76%,percentage,between patients who had surgery between 4 and 12 hours from the onset of hypotension and those who did not have early surgical intervention,patients with acute intestinal ischemia (AII),,surgical intervention,True,,Survivals among this group of patients were 41.7% (n = 25). The survival difference was statistically significant than died patients with respect to the time of surgical intervention (P = <0.001).,Early Surgical Intervention Improves Survival in Acute Intestinal Ischemia in the Intensive Care Unit.
major_trauma,32644299,2020,time to CT,2.00 (i.q.r. 1.55-2.73) h versus 3.15 (2.17-4.63) h,per_unit_time_rate,MTCs vs TUs,patients transferred to MTCs directly vs those transferred secondarily,,imaging (CT),True,logistics_time_to_ct,CT and urgent surgery were performed more quickly in MTCs than in TUs (2.00 (i.q.r. 1.55-2.73) versus 3.15 (2.17-4.63) h and 4.37 (3.00-6.57) versus 5.37 (3.50-7.65) h respectively; P < 0.001).,Time to definitive care within major trauma networks in England.
major_trauma,32644299,2020,time to CT,3.15 (2.17-4.63) h versus 2.00 (i.q.r. 1.55-2.73) h,per_unit_time_rate,TUs vs MTCs,patients transferred to TUs directly vs those transferred secondarily,,imaging (CT),True,logistics_time_to_ct,CT and urgent surgery were performed more quickly in MTCs than in TUs (2.00 (i.q.r. 1.55-2.73) versus 3.15 (2.17-4.63) h and 4.37 (3.00-6.57) versus 5.37 (3.50-7.65) h respectively; P < 0.001).,Time to definitive care within major trauma networks in England.
major_trauma,32644299,2020,time to CT,4.37 (3.00-6.57) h versus 5.37 (3.50-7.65) h,per_unit_time_rate,urgent surgery in MTCs vs TUs,,,imaging (CT),True,logistics_time_to_ct,CT and urgent surgery were performed more quickly in MTCs than in TUs (2.00 (i.q.r. 1.55-2.73) versus 3.15 (2.17-4.63) h and 4.37 (3.00-6.57) versus 5.37 (3.50-7.65) h respectively; P < 0.001).,Time to definitive care within major trauma networks in England.
major_trauma,32644299,2020,time to CT,5.37 (3.50-7.65) h versus 4.37 (3.00-6.57) h,per_unit_time_rate,urgent surgery in TUs vs MTCs,,,imaging (CT),True,logistics_time_to_ct,CT and urgent surgery were performed more quickly in MTCs than in TUs (2.00 (i.q.r. 1.55-2.73) versus 3.15 (2.17-4.63) h and 4.37 (3.00-6.57) versus 5.37 (3.50-7.65) h respectively; P < 0.001).,Time to definitive care within major trauma networks in England.
major_trauma,25216568,2014,probability of survival,20-25%,percentage,,,,diagnosis,True,,The detection rate of injuries by WBCT is outstanding and it improves the probability of survival by 20-25% compared with all other previous methods.,[Importance of multidetector CT imaging in multiple trauma].
subarachnoid_hemorrhage,38606724,2024,rebleeding rate,1.4% (TXA after >6 h) vs 0.86 (TXA within 6 h),percentage,TXA initiated after 6 hours vs TXA initiated within 6 hours,aneurysmal subarachnoid hemorrhage patients,6 months,treatment,True,,"Time to start of TXA modifies the effect of TXA on rebleeding rate (p < 0.001), with a clinically non-relevant reduction observed only when TXA was initiated after 6 h (absolute rate reduction 1.4%).",Impact of time to start of tranexamic acid treatment on rebleed risk and outcome in aneurysmal subarachnoid hemorrhage.
mesenteric_ischemia,34634418,2022,30-day mortality,2.09 (1.4-4.9),odds_ratio,delayed revascularization vs early revascularization,patients with acute mesenteric ischemia,30 days,revascularization,True,,"DR was a significant predictor of 30-day (odds ratio [OR], 2.09; 95% confidence interval [CI], 1.4-4.9; P = .03) and 2-year mortality (hazard ratio, 1.55, 95% CI, 1.0-2.3; P = .04).",Hospital-based delays to revascularization increase risk of postoperative mortality and short bowel syndrome in acute mesenteric ischemia.
mesenteric_ischemia,34634418,2022,2-year mortality,1.55 (1.0-2.3),hazard_ratio,delayed revascularization vs early revascularization,patients with acute mesenteric ischemia,2 years,revascularization,True,,"DR was a significant predictor of 30-day (odds ratio [OR], 2.09; 95% confidence interval [CI], 1.4-4.9; P = .03) and 2-year mortality (hazard ratio, 1.55, 95% CI, 1.0-2.3; P = .04).",Hospital-based delays to revascularization increase risk of postoperative mortality and short bowel syndrome in acute mesenteric ischemia.
mesenteric_ischemia,34634418,2022,bowel resection length,7.47,odds_ratio,delayed revascularization vs early revascularization,patients with acute mesenteric ischemia,postoperative,revascularization,True,,"DR was also independently associated with increased bowel resection length (OR, 7.47; P < .01) and postoperative short bowel syndrome (OR, 2.4; P = .03) on multivariate analyses.",Hospital-based delays to revascularization increase risk of postoperative mortality and short bowel syndrome in acute mesenteric ischemia.
mesenteric_ischemia,34634418,2022,short bowel syndrome,2.4,odds_ratio,delayed revascularization vs early revascularization,patients with acute mesenteric ischemia,postoperative,revascularization,True,,"DR was also independently associated with increased bowel resection length (OR, 7.47; P < .01) and postoperative short bowel syndrome (OR, 2.4; P = .03) on multivariate analyses.",Hospital-based delays to revascularization increase risk of postoperative mortality and short bowel syndrome in acute mesenteric ischemia.
mesenteric_ischemia,19350855,2009,mortality,9.4 (delayed surgical consultation) vs 1 (early surgical consultation),odds_ratio,for patients for whom care was not withdrawn,patients with acute mesenteric ischemia,,surgical consultation,True,,"Delay in surgical consultation (>24 hours after disease onset) was associated with increased mortality (adjusted OR, 9.4; 90% CI, 1.3-65), as was delay in operation (adjusted OR, 4.9; 90% CI, 1.1-22).",Acute mesenteric ischemia: the importance of early surgical consultation.
mesenteric_ischemia,19350855,2009,mortality,4.9 (delayed operation) vs 1 (early operation),odds_ratio,,patients with acute mesenteric ischemia,,operation,True,,"Delay in operation (>6 hours after surgical consultation) was associated with increased mortality (adjusted OR 3.7; 90% CI, 1.1-12).",Acute mesenteric ischemia: the importance of early surgical consultation.
mesenteric_ischemia,12200729,2002,in-hospital mortality,59% (interval 10 hours) vs 71% (interval 37 hours),percentage,delayed diagnosis and operation,patients with acute intestinal ischemia,61 (4-72) months,"diagnosis, operation",True,,"Delayed diagnostic and operation caused higher mortality (interval 10 hours: mortality 59 %, interval 37 hours mortality; 71 %, p = 0,06).",[The acute mesenteric ischemia - not understood or incurable?].
