indication_label,measure,effect_size,outcome_measure,population,year,pmid,supporting_quote
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,24.6-94.3%,frequency_of_IFs,patients undergoing head and neck CBCT scans,2019,31216179,The frequency of IFs of the selected articles were 24.6-94.3%.
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,73.9%,prevalence_of_incidental_findings,elderly patients with low-energy falls undergoing emergency CT examinations,2022,35204445,"IFs were identified in 73.9% of patients, with an average of 1.6 IFs per patient."
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,31.3%,any incidental finding,patients in the ED receiving CT scans,2022,35717273,The overall pooled prevalence estimate for any incidental finding was 31.3% (95% confidence interval 24.4% to 39.1%).
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,8.68%,number_of_incidental_findings,"3191 CT scans of patients screened for COVID-19 in an urban diagnostics laboratory in Hyderabad, India",2023,36320861,"Out of 3191 scans, 277 (8.68%) showed incidental findings, the most common of which was lung nodules and other individual findings."
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,1.87%,incidental findings rate,traumatized adult patients at a trauma center over one year,2024,38333492,The rate of incidental findings for one year was 1.87%.
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,23.7%,incidental findings rate,patients with available preoperative shoulder CT who subsequently underwent shoulder arthroplasty procedures at a single institution between 2015 and 2021,2024,38556913,There were 173 incidental findings noted in 146 of these patients (23.7%).
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,"31.1% for CT, 4.9% for MRI",IF,shoulder examinations,2024,38882230,"While IF occurred in 31.1% of the CT, IF was only detected in 4.9% of the MRI (p < 0.001)."
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,3.9%,malignancy_rate_among_incidentalomas,thyroid incidentalomas detected on CT,2024,39283819,"Additionally, 25 studies with 6272 patients reported a ROM of 3.9% (CI, 3.0-4.9) for thyroid incidentalomas detected on CT."
Incidental findings on CT,overdiagnosis_or_incidentaloma_rate,37.9%,incidentalomas,asymptomatic participants undergoing low-dose non-contrast CT scans,2025,40758690,"Of the incidental findings, 37.9% were classified as 'incidentalomas' by the American College of Radiology (ACR) guidelines."
CT for abdominal pain,diagnostic_yield,48%,positive_or_abnormal_rate,patients undergoing CT examinations for nontraumatic abdominal pain in the emergency department,2006,17412185,Forty-eight percent of CT scans (298 of 621) had positive results.
CT for abdominal pain,marginal_outcome_benefit,14.5%,change in diagnosis or management,patients presenting to the ED with AP,2021,33866269,CT led to the correct diagnosis or change in management in 21 (14.5%) patients.
CT for abdominal pain,diagnostic_yield,79.6%,positive_or_abnormal_rate,ED patients with undifferentiated acute abdominal pain requiring urgent advanced imaging,2025,40835268,The overall positivity for significant acute pathology on CT abdomen in the implementation loop was 79.6%.
CT for renal colic / stones,diagnostic_yield,18%,positive_or_abnormal_rate,patients_with_visible_haematuria,2025,41445992,"potentially malignant findings detected in 18% (n=18) of patients: three renal masses, five ureteric abnormalities, nine bladder findings, and one advanced prostate cancer in known metastatic disease."
Whole-body CT screening,overdiagnosis_or_incidentaloma_rate,29.8% (95% credible interval 20.4% to 42.9%; very low certainty),IFs requiring any interventions,patients with traumatic injuries in the emergency department,2026,41991266,"The summary prevalence estimates for IFs requiring any interventions, urgent interventions, pathologically confirmed cancers and emergent non-traumatic vascular pathologies detected in the whole body were 29.8% (95% credible interval (CrI) 20.4% to 42.9%; very low certainty), 7.6% (95% CrI 4.5% to 14.8%; low certainty), 0.6% (95% CrI 0.3% to 1.6%; moderate certainty) and 0.3% (95% CrI 0.1% to 0.9%; moderate certainty), respectively."
